"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","698","0.0-0.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","","","","","","","","","",""
"","","","","","survey-multi-select","1","4033","0.0-1.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","3334","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","10394","0.0-2.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","6360","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are having great success. Many people are excited about the current progress.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","27604","0.0-3.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","17207","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","4","30203","0.0-4.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","2485","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","5","32099","0.0-5.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","1793","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","33021","0.0-6.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","810","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","7","34513","0.0-7.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","1380","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","8","35508","0.0-8.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","891","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","9","36455","0.0-9.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","841","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","37287","0.0-10.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","719","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","11","38034","0.0-11.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","645","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","38811","0.0-12.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","664","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","13","39744","0.0-13.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","819","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","14","40519","0.0-14.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","660","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","html-button-response","15","44537","0.0-15.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","3910","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
"","","","","","survey-likert","16","53169","0.0-16.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","8530","{""Q0"":2}","[0]","","","","","","climate_q_6",""
"","","","","","survey-likert","17","58521","0.0-17.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","5250","{""Q0"":2}","[0]","","","","","","climate_q_5",""
"","","","","","survey-likert","18","62729","0.0-18.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","4105","{""Q0"":5}","[0]","","","","","","climate_q_2",""
"","","","","","survey-likert","19","66533","0.0-19.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","3702","{""Q0"":1}","[0]","","","","","","climate_q_4",""
"","","","","","survey-likert","20","70764","0.0-20.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","4123","{""Q0"":5}","[0]","","","","","","climate_q_1",""
"","","","","","survey-likert","21","73789","0.0-21.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","2923","{""Q0"":5}","[0]","","","","","","climate_q_3",""
"","","","","","survey-multi-choice","22","80653","0.0-22.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","6763","{""Q0"":""Yes""}","[0]","","","","","","climate_change_real",""
"","","","","","survey-likert","23","82657","0.0-23.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","1903","{""Q0"":3}","[0]","","","","","","climate_worry",""
"","","","","","survey-likert","24","87656","0.0-24.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","4894","{""Q0"":2}","[0]","","","","","","political_affiliation_1",""
"","","","","","survey-likert","25","90955","0.0-25.0-0.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","3185","{""Q0"":0}","[0]","","","","","","political_affiliation_2","independent"
"","","","","","survey-text","26","100931","0.0-25.0-1.0","p8pv5mqox5","1","positive_negative","A1OW27AZS122X2","3KTZHH2ONIQOI68FI37Y0G80431M8V","9871","{""Age"":""27"",""Gender"":""male"",""Race/ethnicity"":""Asian"",""Languages"":""English, Vietnamese""}","","","","","","","",""
