"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","1307","0.0-0.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","","","","","","","","","",""
"","","","","","survey-multi-select","1","7471","0.0-1.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","6163","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","32167","0.0-2.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","24694","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_L.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are having great success. Many people are excited about the current progress.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","34871","0.0-3.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","2664","arrowleft","","images/exp3/B_L_S_7_left.png","map_trial","images/exp3/B_L_S_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","36829","0.0-4.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","1817","arrowleft","","images/exp3/B_L_S_12_left.png","map_trial","images/exp3/B_L_S_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","5","38076","0.0-5.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","1110","arrowleft","","images/exp3/B_L_S_3_left.png","map_trial","images/exp3/B_L_S_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","38966","0.0-6.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","753","arrowright","","images/exp3/B_L_S_2_right.png","map_trial","images/exp3/B_L_S_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","7","40100","0.0-7.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","995","arrowright","","images/exp3/B_L_S_9_right.png","map_trial","images/exp3/B_L_S_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","8","42014","0.0-8.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","1774","arrowleft","","images/exp3/B_L_S_11_left.png","map_trial","images/exp3/B_L_S_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","43560","0.0-9.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","1405","arrowleft","","images/exp3/B_L_S_4_left.png","map_trial","images/exp3/B_L_S_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","45034","0.0-10.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","1337","arrowright","","images/exp3/B_L_S_6_right.png","map_trial","images/exp3/B_L_S_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","11","45888","0.0-11.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","714","arrowright","","images/exp3/B_L_S_5_right.png","map_trial","images/exp3/B_L_S_5_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","46758","0.0-12.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","727","arrowright","","images/exp3/B_L_S_10_right.png","map_trial","images/exp3/B_L_S_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","13","47963","0.0-13.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","1068","arrowleft","","images/exp3/B_L_S_8_left.png","map_trial","images/exp3/B_L_S_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","14","48789","0.0-14.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","687","arrowright","","images/exp3/B_L_S_1_right.png","map_trial","images/exp3/B_L_S_1_right.png","arrowright","true","",""
"","","","","","html-button-response","15","52142","0.0-15.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","3251","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
"","","","","","survey-likert","16","55746","0.0-16.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","3500","{""Q0"":2}","[0]","","","","","","climate_q_4",""
"","","","","","survey-likert","17","61951","0.0-17.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","6104","{""Q0"":1}","[0]","","","","","","climate_q_6",""
"","","","","","survey-likert","18","65470","0.0-18.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","3417","{""Q0"":4}","[0]","","","","","","climate_q_3",""
"","","","","","survey-likert","19","67982","0.0-19.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","2410","{""Q0"":4}","[0]","","","","","","climate_q_1",""
"","","","","","survey-likert","20","70474","0.0-20.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","2390","{""Q0"":4}","[0]","","","","","","climate_q_2",""
"","","","","","survey-likert","21","74049","0.0-21.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","3473","{""Q0"":2}","[0]","","","","","","climate_q_5",""
"","","","","","survey-multi-choice","22","76604","0.0-22.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","2452","{""Q0"":""Yes""}","[0]","","","","","","climate_change_real",""
"","","","","","survey-likert","23","79091","0.0-23.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","2385","{""Q0"":2}","[0]","","","","","","climate_worry",""
"","","","","","survey-likert","24","81182","0.0-24.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","1989","{""Q0"":1}","[0]","","","","","","political_affiliation_1",""
"","","","","","survey-likert","25","84925","0.0-25.0-0.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","3640","{""Q0"":0}","[0]","","","","","","political_affiliation_2","strong_republican"
"","","","","","survey-text","26","95541","0.0-25.0-1.0","9lhhsgrj6d","0","positive_positive","A2XIPFV7ENTREH","3NOEP8XAU4DKIA60IRBIXJJO0HLPX2","10503","{""Age"":""39"",""Gender"":""FEMALE"",""Race/ethnicity"":""WHITE"",""Languages"":""ENGLISH""}","","","","","","","",""
