"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","2681","0.0-0.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","","","","","","","","","",""
"","","","","","survey-multi-select","1","26766","0.0-1.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","24078","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","66075","0.0-2.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","39303","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_L.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are facing serious difficulties. Many people are disappointed about the current difficulties.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","77047","0.0-3.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","10966","arrowright","","images/exp3/B_L_S_6_right.png","map_trial","images/exp3/B_L_S_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","4","78421","0.0-4.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1260","arrowleft","","images/exp3/B_L_S_5_right.png","map_trial","images/exp3/B_L_S_5_right.png","arrowright","false","",""
"","","","","","image-keyboard-response","5","87219","0.0-5.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","8696","arrowleft","","images/exp3/B_L_S_3_left.png","map_trial","images/exp3/B_L_S_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","92229","0.0-6.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","4908","arrowleft","","images/exp3/B_L_S_8_left.png","map_trial","images/exp3/B_L_S_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","7","93621","0.0-7.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1276","arrowright","","images/exp3/B_L_S_1_right.png","map_trial","images/exp3/B_L_S_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","8","95453","0.0-8.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1726","arrowright","","images/exp3/B_L_S_10_right.png","map_trial","images/exp3/B_L_S_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","9","97276","0.0-9.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1715","arrowleft","","images/exp3/B_L_S_12_left.png","map_trial","images/exp3/B_L_S_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","98535","0.0-10.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1156","arrowleft","","images/exp3/B_L_S_4_left.png","map_trial","images/exp3/B_L_S_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","11","100101","0.0-11.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1457","arrowleft","","images/exp3/B_L_S_11_left.png","map_trial","images/exp3/B_L_S_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","12","101602","0.0-12.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1394","arrowleft","","images/exp3/B_L_S_7_left.png","map_trial","images/exp3/B_L_S_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","13","103275","0.0-13.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1566","arrowright","","images/exp3/B_L_S_2_right.png","map_trial","images/exp3/B_L_S_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","14","105012","0.0-14.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","1620","arrowright","","images/exp3/B_L_S_9_right.png","map_trial","images/exp3/B_L_S_9_right.png","arrowright","true","",""
"","","","","","html-button-response","15","107864","0.0-15.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","2744","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
"","","","","","survey-likert","16","115733","0.0-16.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","7751","{""Q0"":0}","[0]","","","","","","climate_q_5",""
"","","","","","survey-likert","17","123172","0.0-17.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","7322","{""Q0"":0}","[0]","","","","","","climate_q_6",""
"","","","","","survey-likert","18","130561","0.0-18.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","7276","{""Q0"":3}","[0]","","","","","","climate_q_1",""
"","","","","","survey-likert","19","135658","0.0-19.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","4982","{""Q0"":6}","[0]","","","","","","climate_q_3",""
"","","","","","survey-likert","20","141194","0.0-20.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","5423","{""Q0"":6}","[0]","","","","","","climate_q_2",""
"","","","","","survey-likert","21","146095","0.0-21.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","4785","{""Q0"":3}","[0]","","","","","","climate_q_4",""
"","","","","","survey-multi-choice","22","151622","0.0-22.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","5424","{""Q0"":""Yes""}","[0]","","","","","","climate_change_real",""
"","","","","","survey-likert","23","154935","0.0-23.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","3211","{""Q0"":0}","[0]","","","","","","climate_worry",""
"","","","","","survey-likert","24","159668","0.0-24.0","y8hqfzeu8m","2","negative_positive","A1TKE2VWAXQ5U4","3QE4DGPGBRMN7VPRVXJQ6Z8Y6VU4GZ","4629","{""Q0"":1}","[0]","","","","","","political_affiliation_1",""
