"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","2775","0.0-0.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","","","","","","","","","",""
"","","","","","survey-multi-select","1","8764","0.0-1.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","5955","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","76579","0.0-2.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","67811","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are having great success. Many people are excited about the current progress.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","81544","0.0-3.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","4960","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","83568","0.0-4.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","1917","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","85303","0.0-5.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","1629","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","86327","0.0-6.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","919","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","7","87287","0.0-7.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","853","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","8","88447","0.0-8.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","1053","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","89151","0.0-9.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","599","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","10","90263","0.0-10.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","1005","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","11","90975","0.0-11.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","604","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","92015","0.0-12.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","933","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","13","92831","0.0-13.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","711","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","14","93537","0.0-14.0","bgy2nbfqdu","1","positive_negative","A28G4QO0DRY8OZ","3O4VWC1GEWHCG1WO3PZAT788KNF3JH","599","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
