"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","4064","0.0-0.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","","","","","","","","","",""
"","","","","","survey-multi-select","1","50466","0.0-1.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","46400","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","393297","0.0-2.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","342829","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_L.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are having great success. Many people are excited about the current progress.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","396449","0.0-3.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","3098","arrowleft","","images/exp3/B_L_S_3_left.png","map_trial","images/exp3/B_L_S_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","398222","0.0-4.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1632","arrowleft","","images/exp3/B_L_S_8_left.png","map_trial","images/exp3/B_L_S_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","5","399189","0.0-5.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","829","arrowleft","","images/exp3/B_L_S_7_left.png","map_trial","images/exp3/B_L_S_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","400374","0.0-6.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1042","arrowright","","images/exp3/B_L_S_9_right.png","map_trial","images/exp3/B_L_S_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","7","401252","0.0-7.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","731","arrowright","","images/exp3/B_L_S_10_right.png","map_trial","images/exp3/B_L_S_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","8","402034","0.0-8.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","634","arrowleft","","images/exp3/B_L_S_4_left.png","map_trial","images/exp3/B_L_S_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","402699","0.0-9.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","522","arrowleft","","images/exp3/B_L_S_12_left.png","map_trial","images/exp3/B_L_S_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","404064","0.0-10.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1212","arrowleft","","images/exp3/B_L_S_11_left.png","map_trial","images/exp3/B_L_S_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","11","404802","0.0-11.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","594","arrowright","","images/exp3/B_L_S_6_right.png","map_trial","images/exp3/B_L_S_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","405539","0.0-12.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","596","arrowright","","images/exp3/B_L_S_1_right.png","map_trial","images/exp3/B_L_S_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","13","406154","0.0-13.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","468","arrowright","","images/exp3/B_L_S_2_right.png","map_trial","images/exp3/B_L_S_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","14","406775","0.0-14.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","485","arrowright","","images/exp3/B_L_S_5_right.png","map_trial","images/exp3/B_L_S_5_right.png","arrowright","true","",""
"","","","","","html-button-response","15","410772","0.0-15.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","3894","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
"","","","","","survey-likert","16","415259","0.0-16.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","4379","{""Q0"":2}","[0]","","","","","","climate_q_4",""
"","","","","","survey-likert","17","417721","0.0-17.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2357","{""Q0"":3}","[0]","","","","","","climate_q_1",""
"","","","","","survey-likert","18","420656","0.0-18.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2829","{""Q0"":5}","[0]","","","","","","climate_q_3",""
"","","","","","survey-likert","19","423373","0.0-19.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2606","{""Q0"":5}","[0]","","","","","","climate_q_2",""
"","","","","","survey-likert","20","425969","0.0-20.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2491","{""Q0"":1}","[0]","","","","","","climate_q_6",""
"","","","","","survey-likert","21","428582","0.0-21.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2506","{""Q0"":1}","[0]","","","","","","climate_q_5",""
"","","","","","survey-multi-choice","22","430527","0.0-22.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1841","{""Q0"":""Yes""}","[0]","","","","","","climate_change_real",""
"","","","","","survey-likert","23","432588","0.0-23.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1951","{""Q0"":1}","[0]","","","","","","climate_worry",""
"","","","","","survey-likert","24","434243","0.0-24.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1544","{""Q0"":2}","[0]","","","","","","political_affiliation_1",""
"","","","","","survey-likert","25","435990","0.0-25.0-0.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1640","{""Q0"":2}","[0]","","","","","","political_affiliation_2","independent"
"","","","","","survey-text","26","450723","0.0-25.0-1.0","xgkhuzdrs3","0","positive_positive","A39UNTUXW8XO8T","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","14585","{""Age"":""41"",""Gender"":""male"",""Race/ethnicity"":""caucasian"",""Languages"":""English, Spanish""}","","","","","","","",""
