"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","364","0.0-0.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","","","","","","","","","",""
"","","","","","survey-multi-select","1","7991","0.0-1.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","7626","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","41750","0.0-2.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","33758","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are having great success. Many people are excited about the current progress.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","50079","0.0-3.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","8328","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","4","53103","0.0-4.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2919","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","54752","0.0-5.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1534","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","55843","0.0-6.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","990","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","7","57232","0.0-7.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1286","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","8","58845","0.0-8.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1499","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","60218","0.0-9.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","1264","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","10","61260","0.0-10.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","931","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","11","62099","0.0-11.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","723","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","63105","0.0-12.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","899","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","13","64149","0.0-13.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","942","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","14","64905","0.0-14.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","650","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","html-button-response","15","67625","0.0-15.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2613","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
"","","","","","survey-likert","16","71918","0.0-16.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","4178","{""Q0"":0}","[0]","","","","","","climate_q_5",""
"","","","","","survey-likert","17","75318","0.0-17.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","3294","{""Q0"":5}","[0]","","","","","","climate_q_1",""
"","","","","","survey-likert","18","77697","0.0-18.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2272","{""Q0"":6}","[0]","","","","","","climate_q_2",""
"","","","","","survey-likert","19","80692","0.0-19.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2890","{""Q0"":0}","[0]","","","","","","climate_q_4",""
"","","","","","survey-likert","20","83610","0.0-20.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2810","{""Q0"":6}","[0]","","","","","","climate_q_3",""
"","","","","","survey-likert","21","86629","0.0-21.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2915","{""Q0"":0}","[0]","","","","","","climate_q_6",""
"","","","","","survey-multi-choice","22","91798","0.0-22.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","5053","{""Q0"":""Yes""}","[0]","","","","","","climate_change_real",""
"","","","","","survey-likert","23","94811","0.0-23.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","2907","{""Q0"":2}","[0]","","","","","","climate_worry",""
"","","","","","survey-likert","24","98407","0.0-24.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","3481","{""Q0"":2}","[0]","","","","","","political_affiliation_1",""
"","","","","","survey-likert","25","103545","0.0-25.0-0.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","5036","{""Q0"":2}","[0]","","","","","","political_affiliation_2","independent"
"","","","","","survey-text","26","114423","0.0-25.0-1.0","6q0uuvphhs","1","positive_negative","A2QWTQ4I70BRWO","32PT7WK7DMQZDFWWTTDZQ9DVF3I3D3","10765","{""Age"":""37"",""Gender"":""Male"",""Race/ethnicity"":""White"",""Languages"":""English""}","","","","","","","",""
