"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","2465","0.0-0.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","","","","","","","","","",""
"","","","","","survey-multi-select","1","55797","0.0-1.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","53329","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","137925","0.0-2.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","82123","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are having great success. Many people are excited about the current progress.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","162747","0.0-3.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","24819","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","165816","0.0-4.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","2966","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","168193","0.0-5.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","2270","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","6","171490","0.0-6.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","3192","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","7","173134","0.0-7.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","1540","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","8","175403","0.0-8.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","2164","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","9","177522","0.0-9.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","2004","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","10","178761","0.0-10.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","1134","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","11","181003","0.0-11.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","2134","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","182421","0.0-12.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","1311","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","13","183896","0.0-13.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","1366","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","14","185864","0.0-14.0","k2azs4fd2u","1","positive_negative","A2CDT2Q9AIGV3C","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","1866","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
