"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","294","0.0-0.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","","","","","","","","","",""
"","","","","","survey-multi-select","1","6168","0.0-1.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","5872","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","59756","0.0-2.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","53585","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_L.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are facing serious difficulties. Many people are disappointed about the current difficulties.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","69562","0.0-3.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","9801","arrowright","","images/exp3/B_L_S_2_right.png","map_trial","images/exp3/B_L_S_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","4","71797","0.0-4.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","2132","arrowright","","images/exp3/B_L_S_9_right.png","map_trial","images/exp3/B_L_S_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","72924","0.0-5.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","1023","arrowright","","images/exp3/B_L_S_10_right.png","map_trial","images/exp3/B_L_S_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","6","73914","0.0-6.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","887","arrowleft","","images/exp3/B_L_S_11_left.png","map_trial","images/exp3/B_L_S_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","7","74787","0.0-7.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","770","arrowleft","","images/exp3/B_L_S_8_left.png","map_trial","images/exp3/B_L_S_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","8","75644","0.0-8.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","754","arrowleft","","images/exp3/B_L_S_3_left.png","map_trial","images/exp3/B_L_S_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","77355","0.0-9.0","vc1zff2yz4","2","negative_positive","A40O6S62MI2VC","3M4KL7H8KVY4I332W2R2WAO60XH16H","1609","arrowleft","","images/exp3/B_L_S_7_left.png","map_trial","images/exp3/B_L_S_7_left.png","arrowleft","true","",""
