"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","980","0.0-0.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","","","","","","","","","",""
"","","","","","survey-multi-select","1","13496","0.0-1.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","12513","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","52288","0.0-2.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","38792","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are having great success. Many people are excited about the current progress.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","74309","0.0-3.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","22018","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","4","75967","0.0-4.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","1547","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","5","76839","0.0-5.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","769","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","77783","0.0-6.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","831","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","7","78643","0.0-7.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","757","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","8","79440","0.0-8.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","688","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","80250","0.0-9.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","697","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","81028","0.0-10.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","672","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","11","81778","0.0-11.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","640","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","82778","0.0-12.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","894","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","13","83525","0.0-13.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","641","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","14","84346","0.0-14.0","gnkvr8llbc","1","positive_negative","A37LZED187CKU3","3X0EMNLXEP0SEL15ICA09YM3K6DPVZ","713","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
