"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","362","0.0-0.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","","","","","","","","","",""
"","","","","","survey-multi-select","1","8103","0.0-1.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","7737","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","61494","0.0-2.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","53389","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are facing serious difficulties. Many people are disappointed about the current difficulties.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","82558","0.0-3.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","21063","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","84509","0.0-4.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","1841","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","87371","0.0-5.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","2748","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","88433","0.0-6.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","957","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","7","89484","0.0-7.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","938","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","8","90909","0.0-8.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","1311","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","91837","0.0-9.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","818","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","92667","0.0-10.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","722","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","11","93457","0.0-11.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","674","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","12","94143","0.0-12.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","580","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","13","95224","0.0-13.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","978","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","14","96013","0.0-14.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","686","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","html-button-response","15","103223","0.0-15.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","7098","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
"","","","","","survey-likert","16","112311","0.0-16.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","8978","{""Q0"":1}","[0]","","","","","","climate_q_5",""
"","","","","","survey-likert","17","116873","0.0-17.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","4455","{""Q0"":5}","[0]","","","","","","climate_q_2",""
"","","","","","survey-likert","18","122158","0.0-18.0","3gscs2ufx9","3","negative_negative","ANHO7XT3KW3IY","36FQTHX3Z326YIYCFXMTVJPVCI63BW","5178","{""Q0"":5}","[0]","","","","","","climate_q_1",""
