"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","condition","workerId","hitId","rt","response","question_order","stimulus","task","image","correct_response","correct","question_idx","political_q_type"
"true","false","[]","[]","[]","preload","0","1055","0.0-0.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","","","","","","","","","",""
"","","","","","survey-multi-select","1","11428","0.0-1.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","10370","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","",""
"","","","","","html-button-response","2","80252","0.0-2.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","68821","0","","
               <div class=""instructions"" style=""text-align: left; width: 900px; margin: 0 auto;"">
                    <p>You may have heard discussions in the news or on social media about protecting the environment. One effort to protect the environment is to limit the amount of carbon dioxide in the atmosphere. Forests naturally help take carbon dioxide out of the atmosphere because trees need carbon to grow. Protecting forests so they can continue to remove carbon from the atmosphere is one way that we can help keep our planet healthy. The maps below show the carbon stored in forests from regions sampled around the world.</p>
                    <div style=""text-align: center;"">
                        <img src=images/exp3/examples_D.png style=""width: 90%; height: auto;"">
                    </div>
                    <p>Recent reports on the ongoing efforts to increase forest carbon storage indicate that we are facing serious difficulties. Many people are disappointed about the current difficulties.</p>
                    <p>In this experiment, you will see a set of maps showing the amount of carbon stored in specific areas. Each map will have two regions that will be labeled with square (□) marks.</p>
                    <p>Your task is to report which of the two region shows more carbon storage using the left & right arrow keys.</p>
                </div>","instructions","","","","",""
"","","","","","image-keyboard-response","3","93998","0.0-3.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","13744","arrowleft","","images/exp3/B_D_U_7_left.png","map_trial","images/exp3/B_D_U_7_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","4","99950","0.0-4.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","5831","arrowright","","images/exp3/B_D_U_2_right.png","map_trial","images/exp3/B_D_U_2_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","5","101270","0.0-5.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","1212","arrowleft","","images/exp3/B_D_U_3_left.png","map_trial","images/exp3/B_D_U_3_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","6","103577","0.0-6.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","2192","arrowright","","images/exp3/B_D_U_10_right.png","map_trial","images/exp3/B_D_U_10_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","7","104588","0.0-7.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","906","arrowright","","images/exp3/B_D_U_9_right.png","map_trial","images/exp3/B_D_U_9_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","8","106560","0.0-8.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","1864","arrowleft","","images/exp3/B_D_U_8_left.png","map_trial","images/exp3/B_D_U_8_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","9","107502","0.0-9.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","837","arrowleft","","images/exp3/B_D_U_11_left.png","map_trial","images/exp3/B_D_U_11_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","10","108655","0.0-10.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","1038","arrowright","","images/exp3/B_D_U_6_right.png","map_trial","images/exp3/B_D_U_6_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","11","109673","0.0-11.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","906","arrowleft","","images/exp3/B_D_U_12_left.png","map_trial","images/exp3/B_D_U_12_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","12","110827","0.0-12.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","1046","arrowleft","","images/exp3/B_D_U_4_left.png","map_trial","images/exp3/B_D_U_4_left.png","arrowleft","true","",""
"","","","","","image-keyboard-response","13","111917","0.0-13.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","989","arrowright","","images/exp3/B_D_U_1_right.png","map_trial","images/exp3/B_D_U_1_right.png","arrowright","true","",""
"","","","","","image-keyboard-response","14","112816","0.0-14.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","794","arrowright","","images/exp3/B_D_U_5_right.png","map_trial","images/exp3/B_D_U_5_right.png","arrowright","true","",""
"","","","","","html-button-response","15","116038","0.0-15.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","3113","0","","
            <div class=""instructions"" style=""text-align: left; width:600px; margin: 0 auto;"">
            <p>Great job! You have evaluated all the maps.</p>
            <p>You will now be presented with a series of statements where you will be asked to indicate your level of agreement or disagreement.<br>                Following that, you will be asked to answer a few demographic questions.</p>
            <p>Press 'Continue' when you are ready.</p>
            </div>
            ","","","","","",""
"","","","","","survey-likert","16","120674","0.0-16.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","4522","{""Q0"":5}","[0]","","","","","","climate_q_2",""
"","","","","","survey-likert","17","130951","0.0-17.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","10166","{""Q0"":0}","[0]","","","","","","climate_q_6",""
"","","","","","survey-likert","18","138365","0.0-18.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","7309","{""Q0"":3}","[0]","","","","","","climate_q_4",""
"","","","","","survey-likert","19","145811","0.0-19.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","7333","{""Q0"":2}","[0]","","","","","","climate_q_1",""
"","","","","","survey-likert","20","150692","0.0-20.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","4777","{""Q0"":4}","[0]","","","","","","climate_q_5",""
"","","","","","survey-likert","21","154424","0.0-21.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","3625","{""Q0"":5}","[0]","","","","","","climate_q_3",""
"","","","","","survey-multi-choice","22","160414","0.0-22.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","5872","{""Q0"":""No""}","[0]","","","","","","climate_change_real",""
"","","","","","survey-likert","23","163935","0.0-23.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","3414","{""Q0"":2}","[0]","","","","","","climate_worry",""
"","","","","","survey-likert","24","168657","0.0-24.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","4601","{""Q0"":2}","[0]","","","","","","political_affiliation_1",""
"","","","","","survey-likert","25","171740","0.0-25.0-0.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","2981","{""Q0"":2}","[0]","","","","","","political_affiliation_2","independent"
"","","","","","survey-text","26","189822","0.0-25.0-1.0","cny2ewjmyt","3","negative_negative","A29CUPGFDP4Q3W","3O0M2G5VC6D8SL2JHRDGEIMB2IZ498","17959","{""Age"":""45"",""Gender"":""female"",""Race/ethnicity"":""asian"",""Languages"":""english""}","","","","","","","",""
