"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","rt","stimulus","response","question_order","slider_start","image_path","practiceTrial","practiceTrialNum","correct","concept","repetition","hue","lightness","saturation","shift","ishihara_plate","correct_response"
"true","false","[]","[]","[]","preload","0","254","0.0-0.0","yn33rxavn1","2","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","15291606","0.0-1.0","yn33rxavn1","2","3535235","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","15293567","0.0-2.0","yn33rxavn1","2","957","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-select","3","15299495","0.0-3.0","yn33rxavn1","2","5924","","{""Consent"":[""<strong>I consent</strong>""]}","[0]","","","","","","","","","","","","",""
"","","","","","html-button-response","4","15302428","0.0-4.0","yn33rxavn1","2","2930","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 25 minutes to complete both parts.","0","","","","","","","","","","","","","",""
"","","","","","survey-text","5","15318260","0.0-5.0","yn33rxavn1","2","15822","","{""Age"":""21"",""Gender"":""male"",""Race/ethnicity"":""southeast asian/hmong"",""Languages"":""english\nhmong""}","","","","","","","","","","","","","",""
"","","","","","html-slider-response","6","16705149","0.0-6.0","yn33rxavn1","2","1386887","
                            <div style='text-align:left; font-size:20px; line-height:25px; width: 1400px;'>
                                During this experiment you will be asked to rate how much you associate maps with                    different concepts.<br> Below, you can see some examples of the maps you will be asked to rate. Next to the maps
                    is the list of concepts.<br>You will be asked                    to rate how much you associate each map with each concept on a scale from 'not at all' to 'very much' like the
                    one below. <br><br>
                    Now, please look at the list of concepts and maps. For each concept, think about the map you associate 'very
                    much' with the concept.<br>                     When you see that map during the experiment, please rate it near the 'very much' endpoint of the
                    scale.<br>Now, please think about which map you associate 'not at all'                     with each concept. When you see that map during the experiment, please rate it near the 'not at all' endpoint
                    of the scale.<br>
                    Please use the full range of the scale. That is, if a map is somewhat associated with the concept, you would
                    click partway between the middle point and right side of the scale.                    You will be asked to rate each map for a given concept before moving on to the next concept.<br><br>Press the
                    'Continue' button for instructions on how to use the slider.                    <br><br>
                </div>

                <div style=""width: 500px; margin: 0 auto;"">
                    <!-- Centered text paragraphs -->
                    <div style=""text-align: center; width: 500px;"">
                        <p style=""font-size:25px; line-height:18px;"">calm</p>
                        <p style=""font-size:25px; line-height:18px;"">positive</p>
                        <p style=""font-size:25px;line-height:18px;"">negative</p>
                        <p style=""font-size:25px;line-height:18px;"">startling</p>
                    </div>

                    <!-- Grid section -->
                   <div style=""display: flex; justify-content: center; padding-top: 15px;"">
                    <div style=""display: grid; grid-template-columns: repeat(8, 80px); grid-gap: 5px; width: auto;"">
                        <img src=""images/R_L_U_10_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_D_S_2_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_D_U_37_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_L_U_10_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_L_S_41_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_L_S_15_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_D_S_2_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_L_U_30_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_L_S_7_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_L_U_44_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_D_S_26_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_L_U_23_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_L_U_23_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_L_S_7_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_L_U_44_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_D_S_12_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_D_U_13_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_L_U_30_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_D_U_5_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_D_S_33_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_D_U_37_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_D_S_26_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_D_S_33_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_L_S_28_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_D_U_27_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_D_S_12_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_L_S_15_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_L_S_41_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/Y_D_U_5_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/R_D_U_13_lightshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/B_L_S_28_darkshift.png"" alt=""map"" style=""width: 100%;""><img src=""images/G_D_U_27_darkshift.png"" alt=""map"" style=""width: 100%;"">
                    </div>
                </div>

                    <!-- Clear floats -->
                    <div style=""clear: both;""></div>
                </div>
                            ","null","","0","maps_anchoring.png","true","","","","","","","","","",""
"","","","","","html-button-response","7","16706919","0.0-7.0","yn33rxavn1","2","1767","<div style=""width:800px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each map for the given concept, so please go with your first intuition. <br>
                    Before you begin the experiment, there will be four training trials for you to practice using the scale. <br>
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","8","16709216","0.0-8.0-0.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","","0","","true","0","true","","","","","","","",""
"","","","","","html-button-response","9","16710357","0.0-8.0-1.0","yn33rxavn1","2","637","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","10","16711705","0.0-9.0-0.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                    </div>
                                </div>","-200","","0","","true","1","true","","","","","","","",""
"","","","","","html-button-response","11","16712745","0.0-9.0-1.0","yn33rxavn1","2","538","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","12","16715073","0.0-10.0-0.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","119","","0","","true","2","false","","","","","","","",""
"","","","","","html-button-response","13","16716367","0.0-10.0-1.0","yn33rxavn1","2","790","<p align='center'><b>Not quite!</b> The slider was not placed near the instructed located. Click on 'Continue' to try again. </p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","14","16719161","0.0-10.1-0.1","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","92","","0","","true","2","true","","","","","","","",""
"","","","","","html-button-response","15","16720313","0.0-10.1-1.1","yn33rxavn1","2","648","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","16","16722807","0.0-11.0-0.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-98","","0","","true","3","true","","","","","","","",""
"","","","","","html-button-response","17","16724108","0.0-11.0-1.0","yn33rxavn1","2","797","<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-button-response","18","16724748","0.0-12.0","yn33rxavn1","2","639","<p>Great job! You've completed the practice trials. Now you will begin the main task.</p>","0","","","","","","","","","","","","","",""
"","","","","","html-button-response","19","16726321","0.0-13.0","yn33rxavn1","2","1571","<p>In this block of trials, you will be asked to rate how much you associate each map with:</p > <p style = 'font-size:150%; font-weight: bold'>startling</p><br></br>","0","","","","","","","","","","","","","",""
"","","","","","html-slider-response","20","16729415","0.0-14.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_L_U_23_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/G_L_U_23_lightshift.png","","","","startling","2","G","L","U","lightshift","",""
"","","","","","html-slider-response","21","16734980","0.0-15.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_S_26_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","54","","0","images/G_D_S_26_lightshift.png","","","","startling","2","G","D","S","lightshift","",""
"","","","","","html-slider-response","22","16741707","0.0-16.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_L_U_23_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-51","","0","images/G_L_U_23_darkshift.png","","","","startling","2","G","L","U","darkshift","",""
"","","","","","html-slider-response","23","16744245","0.0-17.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_S_26_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","200","","0","images/G_D_S_26_darkshift.png","","","","startling","1","G","D","S","darkshift","",""
"","","","","","html-slider-response","24","16748318","0.0-18.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_L_S_41_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","38","","0","images/Y_L_S_41_lightshift.png","","","","startling","2","Y","L","S","lightshift","",""
"","","","","","html-slider-response","25","16752793","0.0-19.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_S_26_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-145","","0","images/G_D_S_26_lightshift.png","","","","startling","1","G","D","S","lightshift","",""
"","","","","","html-slider-response","26","16757482","0.0-20.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_U_13_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","21","","0","images/R_D_U_13_lightshift.png","","","","startling","1","R","D","U","lightshift","",""
"","","","","","html-slider-response","27","16760603","0.0-21.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_D_S_33_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","105","","0","images/B_D_S_33_darkshift.png","","","","startling","1","B","D","S","darkshift","",""
"","","","","","html-slider-response","28","16765300","0.0-22.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_D_S_33_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-4","","0","images/B_D_S_33_lightshift.png","","","","startling","2","B","D","S","lightshift","",""
"","","","","","html-slider-response","29","16770973","0.0-23.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_L_S_7_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","32","","0","images/R_L_S_7_lightshift.png","","","","startling","1","R","L","S","lightshift","",""
"","","","","","html-slider-response","30","16772759","0.0-24.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_L_U_44_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","6","","0","images/Y_L_U_44_darkshift.png","","","","startling","2","Y","L","U","darkshift","",""
"","","","","","html-slider-response","31","16777206","0.0-25.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_L_S_15_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/G_L_S_15_lightshift.png","","","","startling","2","G","L","S","lightshift","",""
"","","","","","html-slider-response","32","16781745","0.0-26.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_D_U_37_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-171","","0","images/B_D_U_37_lightshift.png","","","","startling","2","B","D","U","lightshift","",""
"","","","","","html-slider-response","33","16785659","0.0-27.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_U_13_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","27","","0","images/R_D_U_13_lightshift.png","","","","startling","2","R","D","U","lightshift","",""
"","","","","","html-slider-response","34","16789011","0.0-28.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_S_12_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","170","","0","images/R_D_S_12_lightshift.png","","","","startling","1","R","D","S","lightshift","",""
"","","","","","html-slider-response","35","16792380","0.0-29.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_U_13_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","200","","0","images/R_D_U_13_darkshift.png","","","","startling","1","R","D","U","darkshift","",""
"","","","","","html-slider-response","36","16795882","0.0-30.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_L_U_30_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","31","","0","images/B_L_U_30_lightshift.png","","","","startling","1","B","L","U","lightshift","",""
"","","","","","html-slider-response","37","16797914","0.0-31.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_D_U_37_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","199","","0","images/B_D_U_37_darkshift.png","","","","startling","2","B","D","U","darkshift","",""
"","","","","","html-slider-response","38","16800490","0.0-32.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_L_S_7_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","140","","0","images/R_L_S_7_darkshift.png","","","","startling","1","R","L","S","darkshift","",""
"","","","","","html-slider-response","39","16803187","0.0-33.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_U_27_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","190","","0","images/G_D_U_27_darkshift.png","","","","startling","1","G","D","U","darkshift","",""
"","","","","","html-slider-response","40","16804982","0.0-34.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_L_S_41_darkshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","194","","0","images/Y_L_S_41_darkshift.png","","","","startling","1","Y","L","S","darkshift","",""
"","","","","","html-slider-response","41","16806499","0.0-35.0","yn33rxavn1","2","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >startling</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_D_S_2_lightshift.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","165","","0","images/Y_D_S_2_lightshift.png","","","","startling","1","Y","D","S","lightshift","",""
